endpoint,latency_ms,metadata,timestamp
/translate-text,43939.25,{'out_len': 423},2025-11-11 17:53:20
/summarize-text,10303.38,{'summary_len': 308},2025-11-11 18:29:45
/question-answering,629.61,{'answer_len': 48},2025-11-11 18:31:03
/question-answering,84.23,{'answer_len': 48},2025-11-11 18:32:30
/check-item-return-eligibility,7097.42,"{'eligible': 'not_eligible', 'confidence': None}",2025-11-11 18:33:03
/audio-transcribe,35869.25,{'transcription_len': 119},2025-11-11 18:34:50
/audio-transcribe-translate,47790.68,{'translation_len': 94},2025-11-11 18:38:16
/check-item-return-eligibility,6556.6,"{'eligible': True, 'predicted_label': 'a broken product'}",2025-11-11 18:46:36
/question-answering,726.2,{'answer_len': 48},2025-11-11 19:49:15
/summarize-text,4196.23,{'summary_len': 308},2025-11-11 19:49:50
/translate-text,12180.75,{'out_len': 421},2025-11-11 19:50:20
/check-item-return-eligibility,7459.19,"{'eligible': True, 'predicted_label': 'a broken product'}",2025-11-11 19:50:33
/audio-transcribe,35311.14,{'transcription_len': 119},2025-11-11 19:51:25
